direccion,latitud,longitud
"barridal 8, 27880 lugo, burela, españa",43.6625086,-7.3652243
"concepcion arenal 34, 27880 lugo, burela, españa",43.6648916,-7.359537999999999
"Rosalia De Castro 15, 27880 lugo, burela, españa",43.660186,-7.359719
"rua eijo garay 10, 27880 lugo, burela, españa",43.66095,-7.35901
"carretera gral. 4 pomeda, 27880 lugo, burela, españa",43.47472,-7.299569999999999
"Avenida Arcadio Pardiñas 145, 27880 lugo, burela, españa",43.6552403,-7.3573792
"Avenida Arcadio Pardiñas 192, 27880 lugo, burela, españa",43.651424,-7.354373499999999
"Avenida da Mariña 22, 27880 lugo, burela, españa",43.6648097,-7.3688997
"Rua Pardo Bazán 8, 27880 lugo, burela, españa",43.660782,-7.358809
"pr. marina 7, 27880 lugo, burela, españa",43.660812,-7.358084
"rio portal-, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Avenida Arcadio Pardiñas 110, 27880 lugo, burela, españa",43.6570347,-7.3593577
"rio 3, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Rosalia De Castro 11, 27880 lugo, burela, españa",43.659994,-7.359506
"Avenida Arcadio Pardiñas 90, 27880 lugo, burela, españa",43.657911,-7.360053
"Avenida da Mariña 29, 27880 lugo, burela, españa",43.6662084,-7.361320200000001
"Avenida Arcadio Pardiñas 137, 27880 lugo, burela, españa",43.655885,-7.3578629
"ramon farre 6, 27880 lugo, burela, españa",43.65386609999999,-7.357463
"mar cantabrico 6, 27880 lugo, burela, españa",43.65885979999999,-7.362046800000001
"pascual veiga 71, 27880 lugo, burela, españa",43.6558916,-7.362244899999999
"Avenida Arcadio Pardiñas 137, 27880 lugo, burela, españa",43.655885,-7.3578629
"Avenida Arcadio Pardiñas 137, 27880 lugo, burela, españa",43.655885,-7.3578629
"calle iglesia 4, 27880 lugo, burela, españa",43.6602954,-7.3611092
"rua eijo garay 3, 27880 lugo, burela, españa",43.6602183,-7.358519599999999
"rio 10, 27880 lugo, burela, españa",43.6602954,-7.3611092
"o rio, 27880 lugo, burela, españa",43.6602954,-7.3611092
"calle de eijo garay 26, 27880 lugo, burela, españa",43.6617048,-7.358064499999999
"Avenida da Mariña 57, 27880 lugo, burela, españa",43.657895,-7.355949
"Avenida Arcadio Pardiñas 154, 27880 lugo, burela, españa",43.654253,-7.356992
"rio 6, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Avenida da Mariña 71, 27880 lugo, burela, españa",43.66409110000001,-7.357882099999999
"estacion 11, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Rosalia De Castro 46, 27880 lugo, burela, españa",43.6636149,-7.361756499999999
"rua ril 2. b, 27880 lugo, burela, españa",43.652595,-7.355939200000001
"covamoura 6, 27880 lugo, burela, españa",43.66243,-7.362039999999999
"torno 10, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Avenida Arcadio Pardiñas 44, 27880 lugo, burela, españa",43.6609358,-7.3627789
"ramon farre 4, 27880 lugo, burela, españa",43.6540283,-7.357416300000001
"monte castelo 2, 27880 lugo, burela, españa",43.659289,-7.358815
"pron 2, 27880 lugo, burela, españa",43.6606384,-7.367406799999999
"Avenida Arcadio Pardiñas 4, 27880 lugo, burela, españa",43.6591879,-7.361022500000001
"Avenida Arcadio Pardiñas 91, 27880 lugo, burela, españa",43.659313,-7.361016
"Avenida da Mariña 42, 27880 lugo, burela, españa",43.6660237,-7.3609796
"no58 bajo a nuestra senora del carmen, 27880 lugo, burela, españa",43.6602954,-7.3611092
"rua leandro cucurny s/n, 27880 lugo, burela, españa",43.6602954,-7.3611092
"rio 4, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Avenida Arcadio Pardiñas 211, 27880 lugo, burela, españa",43.649939,-7.352661
"rua lamestra 9, 27880 lugo, burela, españa",43.6624664,-7.3603917
"cno. real 49, 27880 lugo, burela, españa",43.6531165,-7.357565399999999
"Rua Pardo Bazán 13, 27880 lugo, burela, españa",43.6658483,-7.3593551
"Rosalia De Castro 69, 27880 lugo, burela, españa",43.6635949,-7.3621268
"Arcadio Pardiñas 137, 27880 lugo, burela, españa",43.655885,-7.3578629
"pomeda 15, 27880 lugo, burela, españa",43.6657636,-7.366365099999999
"rio 4, 27880 lugo, burela, españa",43.6602954,-7.3611092
"rio 7, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Rosalia De Castro 61, 27880 lugo, burela, españa",43.662863,-7.3623332
"Avenida Arcadio Pardiñas 167, 27880 lugo, burela, españa",43.6539663,-7.356065799999999
"rua manuel murguia 15, 27880 lugo, burela, españa",43.660994,-7.358244
"calle puerto berbes s/n almacen 19, 27880 lugo, burela, españa",43.6602954,-7.3611092
"calle beiramar 23, 27880 lugo, burela, españa",43.6645091,-7.3590622
"castelao 52, 27880 lugo, burela, españa",43.6655218,-7.360027000000001
"Avenida Arcadio Pardiñas 13, 27880 lugo, burela, españa",43.6637314,-7.3647601
"curros enriquez 11, 27880 lugo, burela, españa",43.6606226,-7.360114599999999
"calle castelao 57, 27880 lugo, burela, españa",43.6651584,-7.3604267
"Rosalia De Castro 34, 27880 lugo, burela, españa",43.662872,-7.361374
"Avenida Arcadio Pardiñas 145, 27880 lugo, burela, españa",43.6552403,-7.3573792
"Avenida Arcadio Pardiñas 135, 27880 lugo, burela, españa",43.6561179,-7.3579338
"Rosalia De Castro 26, 27880 lugo, burela, españa",43.66203369999999,-7.361320200000001
"Rosalia De Castro 77, 27880 lugo, burela, españa",43.66439219999999,-7.3618907
"trav. os castros 2, 27880 lugo, burela, españa",43.6602954,-7.3611092
"curros enriquez 22, 27880 lugo, burela, españa",43.6616188,-7.3582182
"lamestra 24, 27880 lugo, burela, españa",43.663729,-7.3579911
"Avenida da Mariña 68, 27880 lugo, burela, españa",43.6646016,-7.358531300000001
"berbes 16, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Rosalia De Castro 13, 27880 lugo, burela, españa",43.660207,-7.359495
"Avenida Arcadio Pardiñas 54, 27880 lugo, burela, españa",43.660027,-7.361982
"Avenida Arcadio Pardiñas 107, 27880 lugo, burela, españa",43.6581004,-7.359885200000001
"marques de sargadelos 3, 27880 lugo, burela, españa",43.653612,-7.356813999999999
"ril 1, 27880 lugo, burela, españa",43.6602954,-7.3611092
"Rua Pardo Bazán 4, 27880 lugo, burela, españa",43.66026,-7.357962
"castelao 2, 27880 lugo, burela, españa",43.66425539999999,-7.365734700000001
"calle pardo bazan 14,  lugo, burela, españa",43.6613627,-7.359626800000001
